ETF,600000.SH,600016.SH,600019.SH,600028.SH,600029.SH,600030.SH,600036.SH,600048.SH
2.2440,6.1431,3.2555,5.6679,5.97,5.4122,15.0404,10.1565,5.0759
2.2800,6.4937,3.3005,6.0118,5.902,5.8833,14.5298,10.6453,5.3023
2.3500,7.1325,3.4626,5.8922,6.132,6.7098,15.1148,11.4989,5.51
2.1310,6.4468,3.1609,5.1519,5.2695,7.5007,15.3914,10.0792,4.3007
1.9400,5.8049,2.9448,4.8934,4.5062,5.8033,10.5304,9.3446,3.848
1.8350,5.5791,2.7241,4.5389,4.1426,5.5811,9.5653,9.1892,3.5625
2.0160,6.1452,3.0422,5.0475,4.7148,6.5676,10.481,10.424,4.5793
1.9550,5.7391,2.9333,4.9858,4.3598,6.3454,9.5817,9.7205,4.1789
1.9480,5.3165,2.7755,5.1091,4.3866,7.3585,8.6987,9.2969,4.3042
2.2140,5.9401,2.9714,5.5253,4.7665,10.4779,12.6802,10.4599,4.9659
1.9770,5.2058,2.7592,4.8394,4.3492,7.9095,10.481,9.3687,4.2207
1.9680,5.0827,2.732,4.9242,4.3117,8.656,10.2929,9.1964,4.4226
1.9560,5.2181,2.7374,5.3249,4.8146,7.634,10.252,9.0672,4.5097
2.0100,5.214,2.781,5.3557,4.5578,7.794,12.0261,9.2395,4.3077
2.0740,5.5873,3.0422,5.4482,4.5632,7.1452,11.4211,10.1153,4.6768
2.1030,5.858,3.347,5.3172,4.622,7.7229,10.8162,10.381,4.5759
1.9980,5.6857,3.298,4.9088,4.3117,6.6564,10.5055,9.9861,4.318
1.9980,5.3111,3.1736,4.872,4.4741,6.9675,11.1321,9.5611,5.0538
1.9250,5.0736,3.013,4.6942,4.224,7.3496,10.5279,9.0691,4.8147
1.8550,5.0143,3.3176,4.2741,4.0011,6.9586,10.3577,8.7019,5.0492
1.7030,4.6095,3.0573,4.1206,3.8204,5.7055,9.5747,8.1218,4.2536
1.8050,4.9711,3.384,4.2579,3.9362,5.7766,10.213,8.8855,4.7411
1.6760,4.5879,3.2123,3.9105,3.9141,5.1012,9.1406,8.232,4.2352
1.6290,4.5825,3.2622,3.9186,3.9582,4.2125,8.264,8.7166,4.5985
