日期,指数涨跌幅(%),浦发银行,民生银行,宝钢股份,中国石化,南方航空,中信证券,招商银行,保利地产,中国联通,上汽集团,复星医药,恒瑞医药,万华化学,华夏幸福,贵州茅台,山东黄金,海螺水泥,绿地控股,青岛海尔,三安光电,伊利股份,大秦铁路,中国神华,兴业银行,北京银行,中国铁建,农业银行,中国平安,交通银行,中国中铁,工商银行,中国太保,中国人寿,中国建筑,华泰证券,中国中车,光大银行,中国石油,中国国旅,建设银行,中国银行,中国重工,PC1,PC2,PC3,PC4,PC5,PC5,PC7
2010/1/29,-12.07,-9.5436,-8.5967,-21.5321,-18.9496,0.495,-10.9852,-15.9557,-14.9107,-3.5665,-22.9621,2.7082,-8.9905,-7.4136,-8.7707,-0.7537,-18.3562,-18.6723,-9.4581,-18.5559,17.6682,14.1239,-5.3398,-15.4222,-20.2183,-19.4933,-6.7834,,-15.6471,-12.6203,-9.2063,-10.8456,-13.7393,-14.6418,-9.7458,,-4.2179,,-5.3546,-10.4107,-8.7237,-5.3118,-3.3291,6.86E+00,3.37E+00,-7.00E+00,1.82E+00,1.05E+00,-1.33E+00,-2.62E-01
2010/2/26,1.47,5.7085,1.3831,6.0686,-1.1384,8.7028,-3.3946,4.8121,4.4596,-4.4097,9.2896,6.1194,2.8882,7.9172,17.4153,-1.0087,4.1336,0.7645,6.0936,9.7078,3.0933,3.9378,-0.6154,-2.0713,7.8669,2.6333,1.6432,,-3.1203,0.3672,1.2238,0.4124,7.4661,-0.2588,2.1127,N/A,2.0183,,-0.6116,-0.3731,-0.354,0.9756,-5.0331,6.95E+00,2.31E+00,-5.20E+00,-8.81E-01,4.53E-01,-3.66E-02,-1.41E+00
2010/3/31,3.21,9.8361,4.9113,-1.99,3.8973,14.0483,4.0264,8.0187,3.9176,-6.5476,-6.9545,-1.5002,-4.0819,-1.0004,25.9732,-4.843,2.0946,8.0764,11.1795,-5.4628,33.4687,2.8653,-0.9288,0.208,6.4284,4.6308,-2.6559,,11.9502,0.9756,0.1727,2.2587,13.6842,5.5597,-0.2299,2.6591,0,,-1.2308,-0.0535,0.7105,3.6232,-2.6499,6.68E+00,3.70E+00,-3.63E+00,-1.48E-01,8.69E-01,-7.95E-01,-1.70E-01
2010/4/30,-8.6,-9.6137,-8.7126,-12.5635,-14.0665,11.7881,1.8297,-12.3464,-21.9465,-6.2102,-7.914,6.4255,9.1048,-14.3158,-27.8636,-18.7264,3.4003,-15.8741,-19.6494,-13.7058,-13.0649,2.6308,-5.3125,-8.2353,-17.9644,-15.6699,-5.694,,-1.9841,-14.0097,-10.6897,-8.8353,-6.1852,-6.7065,-9.2166,-14.6161,-4.3165,,-5.7632,3.7473,-7.4074,-2.331,-3.2951,6.29E+00,3.64E+00,-3.47E+00,-1.36E-01,4.84E-01,-5.07E-01,-4.92E-01
2010/5/31,-9.73,-9.9563,-6.8376,-5.019,-14.4841,-22.6303,-31.5826,-7.288,-10.5263,-13.073,-11.8302,-0.2683,6.7789,-10.6409,-20.5318,2.2088,10.0039,-5.2759,-9.6312,4.1505,8.8069,-13.3595,-6.4906,-10.6712,-6.0596,-7.8014,-9.434,,-8.1781,-6.3971,-11.9691,-2.5004,-14.4098,-9.2586,-8.8832,-22.1018,-6.391,,-10.3306,-10.2683,-5.5238,-2.3866,11.1111,6.38E+00,3.76E+00,-2.62E+00,-6.81E-01,9.42E-01,4.59E-01,-6.30E-01
2010/6/30,-5.05,-3.8905,-7.4924,-7.2441,-8.0682,-3.8285,-9.1646,-1.6629,-7.4208,5.0949,-3.7487,-21.5247,-14.4702,-18.4916,-6.1338,-3.4274,-8.0576,-7.4929,0,1.4878,1.2624,2.2624,-0.404,-7.2604,-12.699,-6.6923,0,,3.1966,-4.7929,-8.9912,-4.6948,5.0277,5.3635,-1.4045,-10.7789,-3.2129,,-4.3758,10.1208,-5.2419,-13.9788,0,5.03E+00,3.14E+00,-1.41E+00,-1.06E-01,8.23E-01,1.25E+00,4.87E-03
2010/7/30,9.61,10.1471,11.6749,11.2054,13.8107,17.6752,9.5726,13.4375,28.5435,3.0019,24.9389,14.0843,6.9107,13.0912,9.901,9.896,-1.0165,24.1465,0,16.1859,11.9775,9.6324,5.508,10.8096,16.891,16.6594,8.8594,N/A,0,9.1514,12.649,6.1576,3.6506,-3.1984,9.1168,15.9002,12.9188,,4.4878,19.1123,9.763,5.6047,-0.6702,4.11E+00,2.30E+00,-1.11E+00,-1.63E+00,2.20E-01,5.38E-01,-1.12E+00
2010/8/31,-2.97,-6.6088,-3.5778,-1.2214,-7.5281,-3.3829,-8.5803,-6.7493,-8.7452,-7.1038,7.045,11.3293,5.0754,-1.6364,0.3604,14.8266,18.2348,17.7,0,3.7003,9.7795,15.8336,-0.348,0.8,-4.7177,-9.3123,-2.8683,-3.5842,0,-8.2317,-4.9892,-5.3364,0.8158,-6.7336,-6.2663,-7.8009,-5,N/A,-4.0149,12.4507,-5.4545,-6.9832,20.7827,4.50E+00,2.47E+00,-1.33E+00,-1.27E+00,1.06E-01,4.25E-01,-3.68E-01
2010/9/30,-0.46,-7.3624,-5.3803,2.473,0.6147,15.9664,-9.215,-4.3575,3,-0.3922,2.6813,-6.5807,11.1643,4.6827,-9.605,5.9662,31.1502,-3.8658,0,3.5683,-10.9763,12.3827,-2.0955,-1.3784,-9.8635,-5.6872,-0.5369,-2.974,14.0603,-2.0019,-3.1963,-0.9804,-7.155,-3.4529,-3.6212,-3.8658,11.306,1.7647,0.6054,-1.3645,-1.7094,0.3003,-3.352,4.48E+00,1.91E+00,-1.74E+00,-1.08E+00,-4.45E-01,9.00E-01,-3.64E-03
2010/10/29,13.7,11.7284,7.0588,8.1448,8.6585,42.3913,45.7707,12.5097,15.3722,6.2992,18.8131,3.7037,-3.0949,19.5409,-3.7736,-3.3071,6.6583,17.5431,0,17.1842,-4.5119,-3.8397,5.4697,21.1351,17.474,14.9079,1.7544,5.7471,13.2917,6.3793,12.5,7.9208,18.578,17.7427,5.4913,30.1214,4.7285,24.8555,9.9214,-4.0711,9.5652,6.2874,17.1098,4.99E+00,1.76E+00,-1.30E+00,-1.48E+00,-5.73E-01,1.14E+00,-6.65E-02
2010/11/30,-9.74,-12.3619,-7.1429,-12.4128,-8.7542,-24.5123,-17.3436,-10.4324,-15.007,-5.9259,-14.4855,1.6807,23.9425,-5.7115,-0.7224,25.5348,-10.3541,0.6767,0,-9.0018,-1.0058,14.0377,-8.7937,-15.3497,-11.5243,-13.2653,-11.4058,-5.4348,-5.3905,-9.8865,-10.9015,-1.904,-10.3288,-12.071,-6.0274,-18.3673,13.8796,-11.3426,-1.0724,37.9069,-6.584,-4.984,6.7127,6.00E+00,2.17E+00,-1.12E+00,-9.32E-01,-5.59E-01,1.83E+00,5.89E-01
2010/12/31,-0.2,-2.3641,-0.9862,1.7516,-0.861,9.4382,-1.7941,-1.8391,4.7855,5.315,-14.2523,-7.2314,1.6382,0.2089,-9.3555,-10.1997,-1.3291,10.829,1.6878,12.5249,8.3648,-16.7899,-3.3375,2.0653,0.0832,-3.8655,1.497,2.682,-0.9349,-1.4388,1.8824,0.9524,-1.2079,-4.4415,-0.2915,-2,10.8664,3.3943,1.355,-7.4694,-0.6494,-1.2232,9.0657,5.38E+00,9.05E-01,-1.01E+00,-3.11E-01,-9.78E-01,2.11E+00,1.71E+00
